"","submission_id","age","comments","education","experiment_duration","experiment_end_time","experiment_start_time","gender","metaphor","speaker","languages","options","prolific_pid","prolific_session_id","prolific_study_id","qud","question","rating","solution","reliability","affiliation"
"11",5209,33,"none","Graduated College",163778,1675356320391,1675356156613,"male","virus","long vignette","English",NA,"5e9f5c69290ef80c286040e5","63dbe7f3752b73c85ce88f9f","63dbcb938be3d3d1cb0dacfc",NA,NA,NA,"Hire more police. Enforce the law.","2","neither"
"12",5212,63,"","Graduated College",290706,1675356372986,1675356082280,"female","virus","long vignette","English",NA,"5efd12bb12f04114e442283c","63dbe7ab70bdb01ceda10299","63dbcb938be3d3d1cb0dacfc",NA,NA,NA,"They need to make the punishment more severe so people wouldn't want to commit a crime. ","7","Republican"
"13",5214,56,"","Graduated College",161692,1675356459913,1675356298221,"female","virus","short vignette","English",NA,"5ae4e06dc67d830001ce8122","63dbe674ddad5dc1ab3f0854","63dbcb938be3d3d1cb0dacfc",NA,NA,NA,"Addison need to find out what is driving the crime and try to establish programs that will get the root cause, be it better employment opportunities or increased treatment for substance use disorders.  In the short term, perhaps increase neighborhood watch groups and increase police patrolling.","4","Democrat"
"14",5222,41,"","Graduated College",65816,1675410352736,1675410286920,"male","virus","short vignette","english",NA,"5dd03c5486c8861300974102","63dcbb67ae292caf133242a3","63dbcb938be3d3d1cb0dacfc",NA,NA,NA,"give everyone so much money a month","6","neither"
"15",5218,30,"","Graduated College",993737,1675357316690,1675356322953,"male","virus","short vignette","Vietnamese",NA,"5f73f37ed13ce303cc14ae35","63dbe89e097bf2d800b7f5f4","63dbcb938be3d3d1cb0dacfc",NA,NA,NA,"Addison needs to enforce stricter laws and hire more police to patrol the city.","6","neither"
"16",5272,23,"","",516498,1678647950467,1678647433969,"female","virus","unreliable","German",NA,"","","",NA,NA,NA,"Implementing preventive measures","4","rather not say"
"17",5219,28,"","Graduated College",155968,1675357389424,1675357233456,"female","beast","long vignette","English",NA,"6107194e818802835d2f6ba3","63dbec2aa438e42c2f1f20f5","63dbcb938be3d3d1cb0dacfc",NA,NA,NA,"More police presence, more city safety measures, (more street lighting, emergency buttons, etc.)","4","neither"
"18",5279,55,"","Higher degree",1176118,1678696977086,1678695800968,"female","virus","reliable","German",NA,"","","",NA,NA,NA,"Improving the ratio through social measures such as creating educational institutions, youth houses, creating jobs, etc.","7","Democrat"
"19",5280,23,"","Graduated College",336597,1678697066914,1678696730317,"female","beast","unreliable","German",NA,"","","",NA,NA,NA,"Addison should increase security measures to reduce crime. Surveillance cameras could be installed in public places or more patrol cars could be deployed with responsible police officers.","2","Democrat"
"20",5284,55,"","Did not graduate High-school",288373,1678738499653,1678738211281,"female","beast","unreliable","Deutsch",NA,"","","",NA,NA,NA,"Alkoholverbot","2","neither"
"21",5220,41,"","Graduated College",124373,1675358242829,1675358118456,"male","virus","short vignette","English",NA,"5ac440da9534ba0001c736da","63dbefa379e1f2a45936865c","63dbcb938be3d3d1cb0dacfc",NA,NA,NA,"To start with, Addison needs to unleash the police. Arrests need to be made, and active police presence on the streets needs to be shown. The courts need to punish criminals as well, treating repeat offenders with particular harshness.","4","neither"
"22",5264,24,"","Graduated College",54549,1678627846952,1678627792403,"female","virus","reliable","German",NA,"","","",NA,NA,NA,"crime preventing work with at-risk youth","6","Democrat"
